Argus;Affilié;Argus création;Produit;Marque;Modèle;Type;Prix partenaire grade A;Partenaire grade A;Prix client grade A;Prix partenaire grade A-;Partenaire grade A-;Prix client grade A-;Prix partenaire grade B;Partenaire grade B;Prix client grade B;Prix partenaire grade C;Partenaire grade C;Prix client grade C;Prix partenaire grade C-;Partenaire grade C-;Prix client grade C-;Prix partenaire grade D;Partenaire grade D;Prix client grade D;Prix partenaire grade D-;Partenaire grade D-;Prix client grade D-
85-116;CompaRecycle;01/06/2026;45799;Apple;iPhone 17 Air 512Go;Mobile;653€;Grading-NQ SOLUTIONS;653€;653€;Grading-NQ SOLUTIONS;653€;605€;Grading-NQ SOLUTIONS;605€;559€;Grading-NQ SOLUTIONS;559€;105€;Grading-Phonestock;105€;86€;Grading-Phonestock;86€;34€;Grading-Phonestock;34€
85-116;CompaRecycle;01/06/2026;45798;Apple;iPhone 17 Air 256Go;Mobile;631€;Grading-NQ SOLUTIONS;631€;631€;Grading-NQ SOLUTIONS;631€;584€;Grading-NQ SOLUTIONS;584€;535€;Grading-NQ SOLUTIONS;535€;105€;Grading-Phonestock;105€;86€;Grading-Phonestock;86€;34€;Grading-Phonestock;34€
85-116;CompaRecycle;01/06/2026;44889;Apple;iPhone 16 Pro 256Go;Mobile;630€;Grading-ADB;630€;630€;Grading-ADB;630€;586€;Grading-FLIP;586€;539€;Grading-SimplyUsed;539€;539€;Grading-FLIP;539€;325€;Grading-ISR;325€;261€;Grading-Coqwel;261€
85-116;CompaRecycle;01/06/2026;45790;Apple;iPhone 17 512Go;Mobile;603€;Grading-FLIP;603€;599€;Grading-FLIP;599€;554€;Grading-FLIP;554€;535€;Grading-FLIP;535€;391€;Grading-FLIP;391€;243€;Grading-Coqwel;243€;243€;Grading-Coqwel;243€
85-116;CompaRecycle;01/06/2026;44884;Apple;iPhone 16 512Go;Mobile;564€;Grading-VALYUU;564€;564€;Grading-VALYUU;564€;522€;Grading-VALYUU;522€;497€;Grading-VALYUU;497€;440€;Grading-FLIP;440€;342€;Grading-ISR;342€;243€;Grading-ISR;243€
85-116;CompaRecycle;01/06/2026;45195;Apple;iPhone 16 Pro e-Sim 1To;Mobile;562€;Grading-SimplyUsed;562€;562€;Grading-SimplyUsed;562€;538€;Grading-SimplyUsed;538€;532€;Grading-SimplyUsed;532€;206€;Grading-IMUDA;206€;25€;Grading-Phonestock;25€;10€;Grading-Phonestock;10€
85-116;CompaRecycle;01/06/2026;43825;Apple;iPhone 15 Pro Max 512Go;Mobile;561€;Grading-ADB;561€;559€;Grading-VALYUU;559€;552€;Grading-VALYUU;552€;552€;Grading-VALYUU;552€;455€;Grading-AMC;455€;360€;Grading-ISR;360€;322€;Grading-Coqwel;322€
85-116;CompaRecycle;01/06/2026;44888;Apple;iPhone 16 Pro 128Go;Mobile;561€;Grading-LANDIPHONE;561€;552€;Grading-LANDIPHONE;552€;525€;Grading-AMC;525€;525€;Grading-AMC;525€;511€;Grading-AMC;511€;312€;Grading-ISR;312€;207€;Grading-ISR;207€
85-116;CompaRecycle;01/06/2026;45194;Apple;iPhone 16 Pro e-Sim 512Go;Mobile;556€;Grading-SimplyUsed;556€;556€;Grading-SimplyUsed;556€;532€;Grading-SimplyUsed;532€;532€;Grading-SimplyUsed;532€;135€;Grading-Phonestock;135€;25€;Grading-Phonestock;25€;10€;Grading-Phonestock;10€
85-116;CompaRecycle;01/06/2026;43822;Apple;iPhone 15 Pro 512Go;Mobile;555€;Grading-VALYUU;555€;555€;Grading-VALYUU;555€;539€;Grading-ISR;539€;531€;Grading-VALYUU;531€;410€;Grading-Coqwel;410€;360€;Grading-ISR;360€;301€;Grading-Coqwel;301€
85-116;CompaRecycle;01/06/2026;39577;Apple;iPhone 14 Pro Max 1To;Mobile;547€;Grading-ADB;547€;539€;Grading-ADB;539€;539€;Grading-ISR;539€;508€;Grading-ADB;508€;390€;Grading-ISR;390€;306€;Grading-ISR;306€;270€;Grading-ISR;270€
85-116;CompaRecycle;01/06/2026;44886;Apple;iPhone 16 Plus 256Go;Mobile;544€;Grading-ADB;544€;534€;Grading-ADB;534€;529€;Grading-FLIP;529€;509€;Grading-FLIP;509€;380€;Grading-FLIP;380€;316€;Grading-ISR;316€;209€;Grading-ITP TECHNOLOGIE;209€
85-116;CompaRecycle;01/06/2026;44883;Apple;iPhone 16 256Go;Mobile;539€;Grading-bloo;539€;519€;Grading-ADB;519€;498€;Grading-MobileRecycle;498€;496€;Grading-MobileRecycle;496€;410€;Grading-FLIP;410€;320€;Grading-ISR;320€;232€;Grading-Coqwel;232€
85-116;CompaRecycle;01/06/2026;45789;Apple;iPhone 17 256Go;Mobile;537€;Grading-FLIP;537€;518€;Grading-FLIP;518€;531€;Grading-FLIP;531€;464€;Grading-FLIP;464€;391€;Grading-FLIP;391€;241€;Grading-Coqwel;241€;241€;Grading-Coqwel;241€
85-116;CompaRecycle;01/06/2026;45185;Apple;iPhone 16e 512Go;Mobile;535€;Grading-FLIP;535€;535€;Grading-FLIP;535€;433€;Grading-FLIP;433€;379€;Grading-FLIP;379€;323€;Grading-FLIP;323€;93€;Grading-Phonestock;93€;88€;Grading-ITP TECHNOLOGIE;88€
85-116;CompaRecycle;01/06/2026;43824;Apple;iPhone 15 Pro Max 256Go;Mobile;524€;Grading-FLIP;524€;518€;Grading-ADB;518€;517€;Grading-AMC;517€;517€;Grading-AMC;517€;455€;Grading-AMC;455€;327€;Grading-ISR;327€;319€;Grading-Coqwel;319€
85-116;CompaRecycle;01/06/2026;43816;Apple;iPhone 15 512Go;Mobile;521€;Grading-Ecofone;521€;520€;Grading-Ecofone;520€;501€;Grading-VALYUU;501€;468€;Grading-VALYUU;468€;351€;Grading-Coqwel;351€;261€;Grading-Coqwel;261€;261€;Grading-Coqwel;261€
85-116;CompaRecycle;01/06/2026;45188;Apple;iPhone 16 e-Sim 512Go;Mobile;521€;Grading-SimplyUsed;521€;521€;Grading-SimplyUsed;521€;502€;Grading-SimplyUsed;502€;468€;Grading-VALYUU;468€;130€;Grading-Phonestock;130€;14€;Grading-Phonestock;14€;1€;Grading-SimplyUsed;1€
85-116;CompaRecycle;01/06/2026;39573;Apple;iPhone 14 Pro 1To;Mobile;519€;Grading-FLIP;519€;519€;Grading-ADB;519€;480€;Grading-VALYUU;480€;480€;Grading-VALYUU;480€;418€;Grading-ITP TECHNOLOGIE;418€;320€;Grading-ISR;320€;253€;Grading-Coqwel;253€
85-116;CompaRecycle;01/06/2026;43819;Apple;iPhone 15 Plus 512Go;Mobile;511€;Grading-Ecofone;511€;511€;Grading-Ecofone;511€;490€;Grading-Ecofone;490€;449€;Grading-Ecofone;449€;369€;Grading-Phonestock;369€;306€;Grading-ISR;306€;216€;Grading-ISR;216€
85-116;CompaRecycle;01/06/2026;44885;Apple;iPhone 16 Plus 128Go;Mobile;509€;Grading-ADB;509€;506€;Grading-VALYUU;506€;500€;Grading-VALYUU;500€;487€;Grading-VALYUU;487€;351€;Grading-FLIP;351€;288€;Grading-ISR;288€;190€;Grading-ISR;190€
85-116;CompaRecycle;01/06/2026;45191;Apple;iPhone 16 Plus e-SIm 512Go;Mobile;497€;Grading-VALYUU;497€;497€;Grading-VALYUU;497€;448€;Grading-VALYUU;448€;448€;Grading-VALYUU;448€;172€;Grading-SimplyUsed;172€;21€;Grading-Phonestock;21€;10€;Grading-SimplyUsed;10€
85-116;CompaRecycle;01/06/2026;43821;Apple;iPhone 15 Pro 256Go;Mobile;487€;Grading-ADB;487€;487€;Grading-ADB;487€;459€;Grading-IMUDA;459€;444€;Grading-VALYUU;444€;410€;Grading-Coqwel;410€;315€;Grading-ISR;315€;297€;Grading-Coqwel;297€
85-116;CompaRecycle;01/06/2026;45198;Apple;iPhone 16 Pro Max e-Sim 1To;Mobile;479€;Grading-SimplyUsed;479€;479€;Grading-SimplyUsed;479€;453€;Grading-SimplyUsed;453€;449€;Grading-SimplyUsed;449€;223€;Grading-IMUDA;223€;19€;Grading-BRAINSCAPE;19€;5€;Grading-BRAINSCAPE;5€
85-116;CompaRecycle;01/06/2026;39576;Apple;iPhone 14 Pro Max 512Go;Mobile;478€;Grading-ADB;478€;469€;Grading-ADB;469€;463€;Grading-VALYUU;463€;463€;Grading-VALYUU;463€;375€;Grading-MobileRecycle;375€;306€;Grading-ITP TECHNOLOGIE;306€;270€;Grading-ISR;270€
85-116;CompaRecycle;01/06/2026;45196;Apple;iPhone 16 Pro Max e-Sim 256Go;Mobile;475€;Grading-IMUDA;475€;475€;Grading-IMUDA;475€;449€;Grading-IMUDA;449€;448€;Grading-VALYUU;448€;130€;Grading-Phonestock;130€;14€;Grading-Phonestock;14€;5€;Grading-BRAINSCAPE;5€
85-116;CompaRecycle;01/06/2026;45197;Apple;iPhone 16 Pro Max e-Sim 512Go;Mobile;475€;Grading-IMUDA;475€;475€;Grading-IMUDA;475€;449€;Grading-IMUDA;449€;449€;Grading-SimplyUsed;449€;130€;Grading-IMUDA;130€;14€;Grading-Phonestock;14€;5€;Grading-BRAINSCAPE;5€
85-116;CompaRecycle;01/06/2026;43820;Apple;iPhone 15 Pro 128Go;Mobile;469€;Grading-IMUDA;469€;449€;Grading-IMUDA;449€;440€;Grading-IMUDA;440€;410€;Grading-Coqwel;410€;400€;Grading-Coqwel;400€;292€;Grading-ISR;292€;287€;Grading-ITP TECHNOLOGIE;287€
85-116;CompaRecycle;01/06/2026;44882;Apple;iPhone 16 128Go;Mobile;457€;Grading-eRecycle;457€;457€;Grading-eRecycle;457€;448€;Grading-eRecycle;448€;437€;Grading-SimplyUsed;437€;404€;Grading-eRecycle;404€;319€;Grading-eRecycle;319€;229€;Grading-Coqwel;229€
85-116;CompaRecycle;01/06/2026;45184;Apple;iPhone 16e 256Go;Mobile;442€;Grading-VALYUU;442€;442€;Grading-VALYUU;442€;432€;Grading-VALYUU;432€;378€;Grading-VALYUU;378€;253€;Grading-NQ SOLUTIONS;253€;87€;Grading-eRecycle;87€;82€;Grading-ITP TECHNOLOGIE;82€
85-116;CompaRecycle;01/06/2026;38547;Apple;iPhone 13 Pro Max 1To;Mobile;440€;Grading-ADB;440€;420€;Grading-ADB;420€;410€;Grading-VALYUU;410€;387€;Grading-VALYUU;387€;301€;Grading-Phonestock;301€;230€;Grading-ISR;230€;180€;Grading-Coqwel;180€
85-116;CompaRecycle;01/06/2026;43818;Apple;iPhone 15 Plus 256Go;Mobile;440€;Grading-SimplyUsed;440€;440€;Grading-SimplyUsed;440€;401€;Grading-MobileRecycle;401€;401€;Grading-MobileRecycle;401€;311€;Grading-FLIP;311€;256€;Grading-ISR;256€;172€;Grading-ISR;172€
85-116;CompaRecycle;01/06/2026;39572;Apple;iPhone 14 Pro 512Go;Mobile;420€;Grading-ADB;420€;420€;Grading-ADB;420€;410€;Grading-ADB;410€;394€;Grading-VALYUU;394€;358€;Grading-ITP TECHNOLOGIE;358€;289€;Grading-ISR;289€;253€;Grading-Coqwel;253€
85-116;CompaRecycle;01/06/2026;45190;Apple;iPhone 16 Plus e-SIm 256Go;Mobile;414€;Grading-IMUDA;414€;414€;Grading-IMUDA;414€;346€;Grading-IMUDA;346€;345€;Grading-VALYUU;345€;135€;Grading-Phonestock;135€;21€;Grading-Phonestock;21€;5€;Grading-Phonestock;5€
85-116;CompaRecycle;01/06/2026;43815;Apple;iPhone 15 256Go;Mobile;413€;Grading-MILERS;413€;403€;Grading-MILERS;403€;385€;Grading-MILERS;385€;369€;Grading-MILERS;369€;346€;Grading-Coqwel;346€;261€;Grading-Coqwel;261€;261€;Grading-Coqwel;261€
85-116;CompaRecycle;01/06/2026;38548;Apple;iPhone 13 Pro Max 512Go;Mobile;411€;Grading-FLIP;411€;405€;Grading-FLIP;405€;351€;Grading-ADB;351€;351€;Grading-ISR;351€;301€;Grading-Phonestock;301€;228€;Grading-ISR;228€;180€;Grading-Coqwel;180€
85-116;CompaRecycle;01/06/2026;39575;Apple;iPhone 14 Pro Max 256Go;Mobile;410€;Grading-bloo;410€;410€;Grading-SimplyUsed;410€;390€;Grading-IMUDA;390€;351€;Grading-MobileRecycle;351€;331€;Grading-Coqwel;331€;279€;Grading-ISR;279€;265€;Grading-Coqwel;265€
85-116;CompaRecycle;01/06/2026;45192;Apple;iPhone 16 Pro e-Sim 128Go;Mobile;407€;Grading-SimplyUsed;407€;405€;Grading-SimplyUsed;405€;373€;Grading-SimplyUsed;373€;370€;Grading-SimplyUsed;370€;132€;Grading-IMUDA;132€;21€;Grading-Ecofone;21€;3€;Grading-ITP TECHNOLOGIE;3€
85-116;CompaRecycle;01/06/2026;45193;Apple;iPhone 16 Pro e-Sim 256Go;Mobile;407€;Grading-SimplyUsed;407€;405€;Grading-SimplyUsed;405€;373€;Grading-SimplyUsed;373€;370€;Grading-SimplyUsed;370€;132€;Grading-IMUDA;132€;21€;Grading-Ecofone;21€;5€;Grading-BRAINSCAPE;5€
85-116;CompaRecycle;01/06/2026;39574;Apple;iPhone 14 Pro Max 128Go;Mobile;398€;Grading-ADB;398€;394€;Grading-ADB;394€;351€;Grading-ADB;351€;331€;Grading-FLIP;331€;306€;Grading-Coqwel;306€;261€;Grading-ISR;261€;252€;Grading-Coqwel;252€
85-116;CompaRecycle;01/06/2026;45797;Apple;iPhone 17 Air 128Go;Mobile;393€;Grading-IMUDA;393€;392€;Grading-IMUDA;392€;374€;Grading-NQ SOLUTIONS;374€;370€;Grading-QUALIMOBILE;370€;105€;Grading-Phonestock;105€;86€;Grading-Phonestock;86€;34€;Grading-Phonestock;34€
85-116;CompaRecycle;01/06/2026;43817;Apple;iPhone 15 Plus 128Go;Mobile;390€;Grading-ADB;390€;370€;Grading-ADB;370€;341€;Grading-bloo;341€;311€;Grading-ISR;311€;261€;Grading-FLIP;261€;225€;Grading-ISR;225€;163€;Grading-ISR;163€
85-116;CompaRecycle;01/06/2026;45187;Apple;iPhone 16 e-Sim 256Go;Mobile;386€;Grading-IMUDA;386€;386€;Grading-IMUDA;386€;367€;Grading-IMUDA;367€;366€;Grading-VALYUU;366€;130€;Grading-IMUDA;130€;14€;Grading-Phonestock;14€;1€;Grading-SimplyUsed;1€
85-116;CompaRecycle;01/06/2026;38543;Apple;iPhone 13 Pro 1To;Mobile;382€;Grading-Ecofone;382€;381€;Grading-FLIP;381€;358€;Grading-VALYUU;358€;356€;Grading-VALYUU;356€;326€;Grading-ISR;326€;227€;Grading-ISR;227€;167€;Grading-ITP TECHNOLOGIE;167€
85-116;CompaRecycle;01/06/2026;39569;Apple;iPhone 14 Plus 512Go;Mobile;380€;Grading-ADB;380€;380€;Grading-ADB;380€;348€;Grading-VALYUU;348€;348€;Grading-VALYUU;348€;276€;Grading-Coqwel;276€;225€;Grading-ISR;225€;204€;Grading-ISR;204€
85-116;CompaRecycle;01/06/2026;43876;Apple;iPhone 15 Pro Max e-Sim 1To;Mobile;376€;Grading-Ecofone;376€;376€;Grading-Ecofone;376€;347€;Grading-Ecofone;347€;308€;Grading-Ecofone;308€;304€;Grading-IMUDA;304€;225€;Grading-ISR;225€;206€;Grading-ITP TECHNOLOGIE;206€
85-116;CompaRecycle;01/06/2026;43873;Apple;iPhone 15 Pro e-Sim 1To;Mobile;373€;Grading-SimplyUsed;373€;371€;Grading-SimplyUsed;371€;351€;Grading-ISR;351€;335€;Grading-SimplyUsed;335€;302€;Grading-Ecofone;302€;229€;Grading-Ecofone;229€;186€;Grading-ITP TECHNOLOGIE;186€
85-116;CompaRecycle;01/06/2026;39571;Apple;iPhone 14 Pro 256Go;Mobile;359€;Grading-ADB;359€;359€;Grading-ADB;359€;341€;Grading-IMUDA;341€;334€;Grading-MobileRecycle;334€;311€;Grading-Coqwel;311€;270€;Grading-ISR;270€;252€;Grading-Coqwel;252€
85-116;CompaRecycle;01/06/2026;43814;Apple;iPhone 15 128Go;Mobile;352€;Grading-NQ SOLUTIONS;352€;351€;Grading-bloo;351€;342€;Grading-MILERS;342€;305€;Grading-LANDIPHONE;305€;304€;Grading-AMC;304€;218€;Grading-ISR;218€;207€;Grading-MILERS;207€
85-116;CompaRecycle;01/06/2026;39566;Apple;iPhone 14 512Go;Mobile;351€;Grading-FLIP;351€;351€;Grading-FLIP;351€;322€;Grading-FLIP;322€;318€;Grading-Ecofone;318€;237€;Grading-FLIP;237€;184€;Grading-ISR;184€;163€;Grading-MILERS;163€
85-116;CompaRecycle;01/06/2026;39570;Apple;iPhone 14 Pro 128Go;Mobile;351€;Grading-bloo;351€;348€;Grading-ADB;348€;321€;Grading-ISR;321€;306€;Grading-Coqwel;306€;306€;Grading-Coqwel;306€;236€;Grading-ISR;236€;225€;Grading-Coqwel;225€
85-116;CompaRecycle;01/06/2026;43872;Apple;iPhone 15 Pro e-Sim 512Go;Mobile;351€;Grading-ISR;351€;351€;Grading-ISR;351€;351€;Grading-ISR;351€;287€;Grading-SimplyUsed;287€;237€;Grading-Ecofone;237€;210€;Grading-ITP TECHNOLOGIE;210€;159€;Grading-ITP TECHNOLOGIE;159€
85-116;CompaRecycle;01/06/2026;43875;Apple;iPhone 15 Pro Max e-Sim 512Go;Mobile;351€;Grading-Ecofone;351€;351€;Grading-Ecofone;351€;325€;Grading-Ecofone;325€;308€;Grading-Ecofone;308€;304€;Grading-IMUDA;304€;218€;Grading-Ecofone;218€;206€;Grading-ITP TECHNOLOGIE;206€
85-116;CompaRecycle;01/06/2026;39649;Apple;iPhone 14 Pro e-SIM 512Go;Mobile;340€;Grading-Ecofone;340€;263€;Grading-Ecofone;263€;259€;Grading-IMUDA;259€;257€;Grading-Ecofone;257€;175€;Grading-Ecofone;175€;147€;Grading-ISR;147€;76€;Grading-ISR;76€
85-116;CompaRecycle;01/06/2026;39650;Apple;iPhone 14 Pro e-SIM 256Go;Mobile;340€;Grading-Ecofone;340€;262€;Grading-IMUDA;262€;259€;Grading-IMUDA;259€;257€;Grading-Ecofone;257€;175€;Grading-Ecofone;175€;109€;Grading-ISR;109€;73€;Grading-ISR;73€
85-116;CompaRecycle;01/06/2026;39651;Apple;iPhone 14 Pro e-SIM 1To;Mobile;340€;Grading-Ecofone;340€;272€;Grading-Ecofone;272€;265€;Grading-Ecofone;265€;257€;Grading-Ecofone;257€;233€;Grading-Phonestock;233€;147€;Grading-ISR;147€;76€;Grading-ISR;76€
85-116;CompaRecycle;01/06/2026;45183;Apple;iPhone 16e 128Go;Mobile;330€;Grading-eRecycle;330€;329€;Grading-eRecycle;329€;310€;Grading-eRecycle;310€;265€;Grading-eRecycle;265€;193€;Grading-eRecycle;193€;87€;Grading-eRecycle;87€;75€;Grading-eRecycle;75€
85-116;CompaRecycle;01/06/2026;39568;Apple;iPhone 14 Plus 256Go;Mobile;326€;Grading-ADB;326€;316€;Grading-ADB;316€;291€;Grading-FLIP;291€;282€;Grading-MobileRecycle;282€;263€;Grading-Phonestock;263€;190€;Grading-ISR;190€;163€;Grading-ISR;163€
85-116;CompaRecycle;01/06/2026;38549;Apple;iPhone 13 Pro Max 256Go;Mobile;321€;Grading-ADB;321€;320€;Grading-ADB;320€;311€;Grading-ISR;311€;303€;Grading-AMC;303€;283€;Grading-AMC;283€;228€;Grading-ISR;228€;180€;Grading-Coqwel;180€
85-116;CompaRecycle;01/06/2026;45189;Apple;iPhone 16 Plus e-SIm 128Go;Mobile;318€;Grading-IMUDA;318€;318€;Grading-IMUDA;318€;289€;Grading-IMUDA;289€;288€;Grading-VALYUU;288€;130€;Grading-IMUDA;130€;14€;Grading-Phonestock;14€;1€;Grading-SimplyUsed;1€
85-116;CompaRecycle;01/06/2026;38544;Apple;iPhone 13 Pro 512Go;Mobile;316€;Grading-FLIP;316€;316€;Grading-FLIP;316€;281€;Grading-ADB;281€;272€;Grading-SimplyUsed;272€;261€;Grading-ISR;261€;216€;Grading-ISR;216€;167€;Grading-ITP TECHNOLOGIE;167€
85-116;CompaRecycle;01/06/2026;43874;Apple;iPhone 15 Pro Max e-Sim 256Go;Mobile;313€;Grading-SimplyUsed;313€;312€;Grading-IMUDA;312€;312€;Grading-IMUDA;312€;260€;Grading-IMUDA;260€;235€;Grading-IMUDA;235€;145€;Grading-ISR;145€;126€;Grading-ITP TECHNOLOGIE;126€
85-116;CompaRecycle;01/06/2026;38540;Apple;iPhone 13 Mini 512Go;Mobile;301€;Grading-ADB;301€;301€;Grading-ADB;301€;271€;Grading-ADB;271€;242€;Grading-ADB;242€;206€;Grading-Largo;206€;127€;Grading-ISR;127€;74€;Grading-ITP TECHNOLOGIE;74€
85-116;CompaRecycle;01/06/2026;38545;Apple;iPhone 13 Pro 256Go;Mobile;301€;Grading-FLIP;301€;301€;Grading-ADB;301€;277€;Grading-MobileRecycle;277€;260€;Grading-MobileRecycle;260€;244€;Grading-ISR;244€;190€;Grading-ISR;190€;163€;Grading-Coqwel;163€
85-116;CompaRecycle;01/06/2026;43871;Apple;iPhone 15 Pro e-Sim 256Go;Mobile;299€;Grading-SimplyUsed;299€;297€;Grading-SimplyUsed;297€;264€;Grading-SimplyUsed;264€;257€;Grading-SimplyUsed;257€;236€;Grading-IMUDA;236€;210€;Grading-ITP TECHNOLOGIE;210€;159€;Grading-ITP TECHNOLOGIE;159€
85-116;CompaRecycle;01/06/2026;45186;Apple;iPhone 16 e-Sim 128Go;Mobile;298€;Grading-IMUDA;298€;298€;Grading-IMUDA;298€;298€;Grading-IMUDA;298€;297€;Grading-VALYUU;297€;130€;Grading-Phonestock;130€;14€;Grading-Phonestock;14€;1€;Grading-SimplyUsed;1€
85-116;CompaRecycle;01/06/2026;38546;Apple;iPhone 13 Pro Max 128Go;Mobile;295€;Grading-AMC;295€;295€;Grading-AMC;295€;295€;Grading-AMC;295€;295€;Grading-AMC;295€;253€;Grading-AMC;253€;196€;Grading-ISR;196€;176€;Grading-Coqwel;176€
85-116;CompaRecycle;01/06/2026;39655;Apple;iPhone 14 Pro Max e-SIM 1To;Mobile;293€;Grading-SimplyUsed;293€;284€;Grading-Ecofone;284€;259€;Grading-SimplyUsed;259€;253€;Grading-Ecofone;253€;230€;Grading-Ecofone;230€;194€;Grading-Ecofone;194€;136€;Grading-ITP TECHNOLOGIE;136€
